,name,p,t,z,epsilon_B,gammabeta,gammabeta_err,Req,Req_err,Eeq,Eeq_err,B,B_err,Ne,Ne_err,number_density,number_density_err
4,ASASSN-14li,3.0,304,0.0206,0.1,0.059241391117893116,0.0016740673770449176,4.5706473368093576e+16,1291592154428446.0,1.735290608183521e+48,5.988003769379001e+46,0.41254451165963013,0.011462118348644199,5.46023380530076e+52,1.8841743540614867e+51,136.81195624139343,7.582199793354311
5,ASASSN-14li,3.0,381,0.0206,0.1,0.05207548438966887,0.001437445298235216,5.035437100376818e+16,1389937216970330.8,1.3992177225141403e+48,5.937072685654045e+46,0.3203033302921298,0.008958739492672112,4.4027529875501113e+52,1.8681484720689158e+51,82.47262615938924,4.664738398281355
6,ASASSN-14li,2.3,972,0.0457,0.1,0.07869184429669215,0.015520922562918796,1.8946252733617098e+17,3.736897059207959e+16,1.26447062498785e+49,4.0238173303309384e+48,0.12647336903326328,0.017707888614752205,4.3191972059967324e+53,1.3744613933418685e+53,15.967510577502505,4.2746268587262595
7,ASASSN-14li,2.3,1126,0.0457,0.1,0.09615372448102312,0.0018764714351149508,2.681833670465013e+17,5233686270104150.0,2.8803829088500524e+49,5.894137679924556e+47,0.11156682841869388,0.0021448295249421167,9.838853956947745e+53,2.01332814664118e+52,12.190972167678861,0.4649466009222322
8,ASASSN-14li,2.3,1199,0.0457,0.1,0.1302180469282067,0.0062706365306846095,3.86738757663149e+17,1.8623364724331624e+16,5.930676092172047e+49,3.1165667968410154e+48,0.09260832294877583,0.004305893925117807,2.025808990796229e+54,1.0645614326823333e+53,8.414834780803073,0.7819281792413284
9,ASASSN-14li,2.3,1251,0.0457,0.1,0.11431079363222478,0.005472602283332573,3.54219028046022e+17,1.695815242015809e+16,5.726801671638658e+49,2.6616070949710624e+48,0.10383180701597702,0.004845771102393486,1.956169268833493e+54,9.091556340559826e+52,10.578239374110861,0.96786279891944
29,AT2018hyz,3.3,573,0.018,0.1,0.05205073040835813,0.0005151658846199094,7.58871281025632e+16,751083782561939.1,1.9781532615213285e+49,1.9194792462863033e+47,0.664242688087798,0.006801259624592901,6.019518800879609e+53,5.8409738192033203e+51,328.92979717903114,6.734728836002421
30,AT2018hyz,3.3,606,0.018,0.1,0.0535082485728058,0.00028591032553318196,8.250495418971752e+16,440848260588945.9,2.124953057711289e+49,1.5248797581180475e+47,0.607253396051521,0.0034593665062067867,6.466230463883493e+53,4.6402078906735216e+51,274.88948138030366,3.1291500341016865
31,AT2018hyz,3.3,731,0.018,0.1,0.05301381849281624,0.000807185324688473,9.860368172311571e+16,1501333937262740.8,2.3713428614427494e+49,4.1227805073144645e+47,0.4910777471290196,0.007112444745874442,7.215994440596772e+53,1.2545617803443035e+52,179.80249930159152,5.203331151225567
32,AT2018hyz,3.3,998,0.018,0.1,0.052238714786932004,0.0018581948001602955,1.3265074464741253e+17,4718548780278858.0,2.3697401760041e+49,8.271017285113943e+47,0.31497021985264567,0.011688237996474542,7.211117470082144e+53,2.516869901771562e+52,74.0526760730058,5.51315168771534
19,AT2019dsg,2.7,561,0.051,0.02,0.0599225359336983,0.011431124256009792,8.284852391548258e+16,1.580460099940951e+16,1.0512843702929347e+49,2.16114386676516e+48,0.08851170580815496,0.016116782378591023,5.625090617226062e+53,1.1563598233681515e+53,260.68083891801814,91.33994449791435
20,AT2019dsg,2.7,50,0.159,0.02,0.16584518537434362,0.02692717095241473,1.85320678628153e+16,3008927623177036.5,4.0058212149673154e+48,7.391229999340328e+47,0.5126264195781683,0.08774185510618762,2.143388408249527e+53,3.9548137206172135e+52,8711.327809836162,3064.860373814706
21,AT2019dsg,2.7,116,0.159,0.02,0.09192319052581403,0.0048267073148601045,2.3830551237637932e+16,1251295731990008.0,8.499984864858756e+48,5.522127317718614e+47,0.5001997029701104,0.024515807795682854,4.548073429129147e+53,2.9547159112972903e+52,8077.386579867036,765.2702387297767
22,AT2019dsg,2.7,281,0.159,0.02,0.11684014566602322,0.014822241531550604,7.337522045499453e+16,9308318076934472.0,4.3137928032206143e+49,6.43392423332578e+48,0.21070295086668903,0.022957945269393994,2.3081742778399885e+54,3.442589641729367e+53,1446.8011055138038,300.798490412523
23,AT2019dsg,3.0,142,0.035,0.02,0.04621476791145819,0.004472208647798779,1.6423405517357066e+16,1589294926715838.8,3.261656104191891e+48,3.206933817059674e+47,0.5452083869653809,0.05036234165907623,1.7410561208756633e+53,1.7118456308925374e+52,9632.130004045497,1721.8282051808492
24,AT2019dsg,3.0,211,0.035,0.02,0.04008820568721651,0.0055959805991716285,2.11686503196407e+16,2954967788372041.5,4.037274422195652e+48,6.921624039170325e+47,0.4172855731009887,0.05337813927969476,2.1550773962296793e+53,3.6947291544040203e+52,5686.209208566674,1438.28622746863
25,AT2019dsg,3.0,307,0.035,0.02,0.0371377057869489,0.0094534032193242,2.8533006965605756e+16,7263077085403816.0,3.723246400231222e+48,1.373248151099317e+48,0.26209491389713835,0.05675366344430035,1.9874507696625875e+53,7.330331655381643e+52,2310.6017622259783,988.2646949645666
26,AT2019dsg,3.0,375,0.035,0.02,0.0315747212731215,0.006454551940926795,2.9632267725289e+16,6057472669541577.0,2.712720655419326e+48,1.141824222945815e+48,0.202490332735232,0.02996803447314476,1.4480370555539707e+53,6.095002013759058e+52,1346.2497881492427,375.4712642481864
